Sample	Plate	Well	Experiment	Time	Treatment	Replicate	CellNumID	WellType	TimeTreatment	Unmapped	Uniquely_mapped	Multimapped	Unpaired_total	Mapping_rate	Total_reads	Uniquely_mapped_rate	Assigned	Assigned_rate_total	Assigned_rate_uniqmap	perc_protein_coding	nr_protein_coding	perc_lncRNA	nr_lncRNA	perc_rRNA	nr_rRNA	perc_mitochondrial	nr_mitochondrial	assigned_reads	ngenes	coverage_ngenes_th
C142_C8_Martello_Polo_Day0_H9_E8_32	C142	C8	experiment_2	DAY0	E8	H9	32	SC	Day0_E8	10572	292928	149885	453385	97.67	453385	64.61	132982	29.33	45.4	66.66	88649	3.34	4444	26.67	35463	27.98	37203	132982	10012	1
C142_C9_Martello_Polo_Day0_H9_E8_33	C142	C9	experiment_2	DAY0	E8	H9	33	SC	Day0_E8	2513	69353	27522	99388	97.47	99388	69.78	34091	34.3	49.16	64.19	21882	2.46	840	30.02	10234	31.42	10713	34091	5447	1
C142_D1_Martello_Polo_Day0_H9_E8_37	C142	D1	experiment_2	DAY0	E8	H9	37	SC	Day0_E8	5475	135329	49533	190337	97.12	190337	71.1	77690	40.82	57.41	58.84	45713	2	1554	36.93	28693	38.84	30178	77690	6506	1
C142_D10_Martello_Polo_Day0_H9_E8_46	C142	D10	experiment_2	DAY0	E8	H9	46	SC	Day0_E8	12457	308207	122347	443011	97.19	443011	69.57	161779	36.52	52.49	66.1	106939	2.45	3960	28.93	46801	30.45	49269	161779	9872	1
C142_D11_Martello_Polo_Day0_H9_E8_47	C142	D11	experiment_2	DAY0	E8	H9	47	SC	Day0_E8	6136	121878	60040	188054	96.74	188054	64.81	63750	33.9	52.31	59.85	38154	2.71	1727	34.38	21919	36.32	23155	63750	7240	1
C142_D12_Martello_Polo_Day0_H9_E8_48	C142	D12	experiment_2	DAY0	E8	H9	48	SC	Day0_E8	9978	313668	105428	429074	97.67	429074	73.1	187506	43.7	59.78	61.62	115535	1.91	3581	34.29	64292	36.22	67914	187506	9084	1
C142_D2_Martello_Polo_Day0_H9_E8_38	C142	D2	experiment_2	DAY0	E8	H9	38	SC	Day0_E8	2197	61725	28221	92143	97.62	92143	66.99	31352	34.03	50.79	70.68	22159	2.6	816	23.52	7375	25.65	8042	31352	5718	1
C142_D3_Martello_Polo_Day0_H9_E8_39	C142	D3	experiment_2	DAY0	E8	H9	39	SC	Day0_E8	2684	73105	29873	105662	97.46	105662	69.19	37045	35.06	50.67	63.71	23602	2.42	897	31.18	11551	33.62	12454	37045	5762	1
C142_D4_Martello_Polo_Day0_H9_E8_40	C142	D4	experiment_2	DAY0	E8	H9	40	SC	Day0_E8	4126	187564	59441	251131	98.36	251131	74.69	92420	36.8	49.27	48.56	44880	2.76	2554	46.7	43164	50.53	46699	92420	7758	1
C142_D5_Martello_Polo_Day0_H9_E8_41	C142	D5	experiment_2	DAY0	E8	H9	41	SC	Day0_E8	4934	124274	41151	170359	97.1	170359	72.95	49493	29.05	39.83	61.34	30361	3.11	1539	33.2	16430	35.97	17805	49493	6267	1
C142_D6_Martello_Polo_Day0_H9_E8_42	C142	D6	experiment_2	DAY0	E8	H9	42	SC	Day0_E8	4202	78795	40055	123052	96.59	123052	64.03	34210	27.8	43.42	64.09	21924	3.41	1167	29.34	10037	30.84	10550	34210	5880	1
C142_D7_Martello_Polo_Day0_H9_E8_43	C142	D7	experiment_2	DAY0	E8	H9	43	SC	Day0_E8	7991	217930	140755	366676	97.82	366676	59.43	116635	31.81	53.52	71.55	83457	2.78	3243	22.69	26467	23.96	27941	116635	9159	1
C142_D8_Martello_Polo_Day0_H9_E8_44	C142	D8	experiment_2	DAY0	E8	H9	44	SC	Day0_E8	11014	322568	175790	509372	97.84	509372	63.33	184042	36.13	57.06	66.88	123084	2.46	4520	28.02	51577	29.72	54689	184042	9720	1
C142_D9_Martello_Polo_Day0_H9_E8_45	C142	D9	experiment_2	DAY0	E8	H9	45	SC	Day0_E8	4488	112288	55667	172443	97.4	172443	65.12	57412	33.29	51.13	64.86	37238	2.73	1569	29.31	16828	31.13	17871	57412	7169	1
C142_E1_Martello_Polo_Day0_H9_E8_49	C142	E1	experiment_2	DAY0	E8	H9	49	SC	Day0_E8	39872	96040	13231	149143	73.27	149143	64.39	11358	7.62	11.83	87.79	9971	5.32	604	3	341	3.13	356	11358	1143	1
C142_E10_Martello_Polo_Day0_H9_E8_58	C142	E10	experiment_2	DAY0	E8	H9	58	SC	Day0_E8	4579	105514	46339	156432	97.07	156432	67.45	48347	30.91	45.82	69.55	33627	2.7	1305	24.55	11869	26.49	12808	48347	6729	1
C142_E11_Martello_Polo_Day0_H9_E8_59	C142	E11	experiment_2	DAY0	E8	H9	59	SC	Day0_E8	5241	133659	52126	191026	97.26	191026	69.97	66639	34.88	49.86	43.75	29154	2.62	1747	51.88	34571	54.57	36362	66639	6505	1
C142_E12_Martello_Polo_Day0_H9_E8_60	C142	E12	experiment_2	DAY0	E8	H9	60	SC	Day0_E8	20280	314360	68050	402690	94.96	402690	78.07	151789	37.69	48.29	70.98	107735	2.43	3682	23.93	36320	25.13	38150	151789	7304	1
C142_E2_Martello_Polo_Day0_H9_E8_50	C142	E2	experiment_2	DAY0	E8	H9	50	SC	Day0_E8	2255	49580	22243	74078	96.96	74078	66.93	23551	31.79	47.5	67.6	15921	2.73	643	26.56	6254	28.24	6651	23551	4835	1
C142_E3_Martello_Polo_Day0_H9_E8_51	C142	E3	experiment_2	DAY0	E8	H9	51	SC	Day0_E8	1821	38365	17955	58141	96.87	58141	65.99	16827	28.94	43.86	68.22	11480	3.16	531	25.05	4216	26.39	4441	16827	4193	1
C142_E4_Martello_Polo_Day0_H9_E8_52	C142	E4	experiment_2	DAY0	E8	H9	52	SC	Day0_E8	2569	57457	23626	83652	96.93	83652	68.69	24924	29.79	43.38	59.36	14796	3.13	780	35.11	8752	37.62	9377	24924	5053	1
C142_E5_Martello_Polo_Day0_H9_E8_53	C142	E5	experiment_2	DAY0	E8	H9	53	SC	Day0_E8	2620	65831	28786	97237	97.31	97237	67.7	29664	30.51	45.06	61.67	18293	2.9	861	32.35	9597	34.82	10328	29664	5496	1
C142_E6_Martello_Polo_Day0_H9_E8_54	C142	E6	experiment_2	DAY0	E8	H9	54	SC	Day0_E8	4042	14221	2334	20597	80.38	20597	69.04	476	2.31	3.35	81.3	387	10.71	51	1.05	5	1.05	5	476	219	1
C142_E7_Martello_Polo_Day0_H9_E8_55	C142	E7	experiment_2	DAY0	E8	H9	55	SC	Day0_E8	3	26	10	39	92.31	39	66.67	17	43.59	65.38	64.71	11	5.88	1	23.53	4	23.53	4	17	14	1
C142_E8_Martello_Polo_Day0_H9_E8_56	C142	E8	experiment_2	DAY0	E8	H9	56	SC	Day0_E8	8535	267583	126073	402191	97.88	402191	66.53	135868	33.78	50.78	62.74	85241	2.76	3755	31.96	43419	34.33	46647	135868	9317	1
C142_E9_Martello_Polo_Day0_H9_E8_57	C142	E9	experiment_2	DAY0	E8	H9	57	SC	Day0_E8	1930	86208	41099	129237	98.51	129237	66.71	43739	33.84	50.74	67.92	29708	2.48	1083	26.1	11417	27.92	12214	43739	6754	1
C142_F1_Martello_Polo_Day0_H9_E8_61	C142	F1	experiment_2	DAY0	E8	H9	61	SC	Day0_E8	22060	287664	95163	404887	94.55	404887	71.05	194119	47.94	67.48	48.84	94808	1.29	2506	47.7	92603	49.52	96120	194119	7018	1
C142_F10_Martello_Polo_Day0_H9_E8_70	C142	F10	experiment_2	DAY0	E8	H9	70	SC	Day0_E8	5149	94335	40102	139586	96.31	139586	67.58	48540	34.77	51.45	66.47	32264	2.53	1227	27.94	13561	29.63	14382	48540	6510	1
