Sample	Plate	Well	Experiment	Time	Treatment	Replicate	CellNumID	WellType	TimeTreatment	Unmapped	Uniquely_mapped	Multimapped	Unpaired_total	Mapping_rate	Total_reads	Uniquely_mapped_rate	Assigned	Assigned_rate_total	Assigned_rate_uniqmap	perc_protein_coding	nr_protein_coding	perc_lncRNA	nr_lncRNA	perc_rRNA	nr_rRNA	perc_mitochondrial	nr_mitochondrial	assigned_reads	ngenes	coverage_ngenes_th
C147_B11_Martello_Polo_Day2_E8_C_23	C147	B11	experiment_2	DAY2	E8	C	23	SC	Day2_E8	368424	246854	161429	776707	52.57	776707	31.78	78505	10.11	31.8	46.09	36185	3.63	2851	48.03	37709	49.99	39245	78505	5607	1
C147_B12_Martello_Polo_Day2_E8_C_24	C147	B12	experiment_2	DAY2	E8	C	24	SC	Day2_E8	434776	304775	138489	878040	50.48	878040	34.71	93343	10.63	30.63	32.08	29943	3.02	2815	62.97	58779	63.92	59662	93343	4299	1
C147_B2_Martello_Polo_Day2_E8_C_14	C147	B2	experiment_2	DAY2	E8	C	14	SC	Day2_E8	300625	80350	25102	406077	25.97	406077	19.79	5150	1.27	6.41	60.78	3130	13.38	689	17.4	896	20.52	1057	5150	1470	1
C147_B3_Martello_Polo_Day2_E8_C_15	C147	B3	experiment_2	DAY2	E8	C	15	SC	Day2_E8	410130	196910	103895	710935	42.31	710935	27.7	39776	5.59	20.2	66.03	26265	5	1990	25.89	10299	26.91	10704	39776	5045	1
C147_B4_Martello_Polo_Day2_E8_C_16	C147	B4	experiment_2	DAY2	E8	C	16	SC	Day2_E8	162121	297540	89558	549219	70.48	549219	54.18	112549	20.49	37.83	28.77	32383	2.09	2349	68.09	76630	69.51	78237	112549	4344	1
C147_B5_Martello_Polo_Day2_E8_C_17	C147	B5	experiment_2	DAY2	E8	C	17	SC	Day2_E8	25487	85131	20767	131385	80.6	131385	64.8	8715	6.63	10.24	29.27	2551	6.78	591	61.24	5337	62.19	5420	8715	954	1
C147_B6_Martello_Polo_Day2_E8_C_18	C147	B6	experiment_2	DAY2	E8	C	18	SC	Day2_E8	150551	138271	40571	329393	54.29	329393	41.98	24722	7.51	17.88	43.12	10660	4.74	1173	49.74	12297	51.21	12660	24722	2666	1
C147_B7_Martello_Polo_Day2_E8_C_19	C147	B7	experiment_2	DAY2	E8	C	19	SC	Day2_E8	93774	91171	29160	214105	56.2	214105	42.58	9415	4.4	10.33	43.31	4078	9.31	877	43.9	4133	45.51	4285	9415	1676	1
C147_B8_Martello_Polo_Day2_E8_C_20	C147	B8	experiment_2	DAY2	E8	C	20	SC	Day2_E8	22163	128660	41901	192724	88.5	192724	66.76	23974	12.44	18.63	90.51	21698	6.28	1506	0.57	136	0.57	136	23974	5162	1
C147_B9_Martello_Polo_Day2_E8_C_21	C147	B9	experiment_2	DAY2	E8	C	21	SC	Day2_E8	74984	201653	75968	352605	78.73	352605	57.19	69814	19.8	34.62	27.65	19305	1.98	1384	69.29	48374	69.88	48787	69814	3871	1
C147_C1_Martello_Polo_Day2_E8_C_25	C147	C1	experiment_2	DAY2	E8	C	25	SC	Day2_E8	114209	175833	41898	331940	65.59	331940	52.97	28073	8.46	15.97	44.36	12454	5.77	1620	46.98	13189	47.86	13437	28073	2601	1
C147_C10_Martello_Polo_Day2_E8_C_34	C147	C10	experiment_2	DAY2	E8	C	34	SC	Day2_E8	41012	223242	105008	369262	88.89	369262	60.46	89116	24.13	39.92	29.05	25888	2.15	1916	67.68	60316	68.47	61018	89116	4960	1
C147_C11_Martello_Polo_Day2_E8_C_35	C147	C11	experiment_2	DAY2	E8	C	35	SC	Day2_E8	18392	82214	32177	132783	86.15	132783	61.92	10999	8.28	13.38	61.71	6788	6.96	766	28.95	3184	29.46	3240	10999	2731	1
C147_C12_Martello_Polo_Day2_E8_C_36	C147	C12	experiment_2	DAY2	E8	C	36	SC	Day2_E8	24411	289362	121740	435513	94.39	435513	66.44	151025	34.68	52.19	37.31	56348	1.51	2280	60.02	90651	61.29	92569	151025	6729	1
C147_C2_Martello_Polo_Day2_E8_C_26	C147	C2	experiment_2	DAY2	E8	C	26	SC	Day2_E8	166276	91335	79278	336889	50.64	336889	27.11	18173	5.39	19.9	53.14	9657	6.77	1231	36.59	6650	39.1	7106	18173	3417	1
C147_C3_Martello_Polo_Day2_E8_C_27	C147	C3	experiment_2	DAY2	E8	C	27	SC	Day2_E8	44466	129662	45817	219945	79.78	219945	58.95	29075	13.22	22.42	36.92	10735	3.25	944	58.02	16868	59.1	17182	29075	2811	1
C147_C4_Martello_Polo_Day2_E8_C_28	C147	C4	experiment_2	DAY2	E8	C	28	SC	Day2_E8	23048	86367	19624	129039	82.14	129039	66.93	5989	4.64	6.93	41.08	2460	8.82	528	47	2815	47.4	2839	5989	978	1
C147_C5_Martello_Polo_Day2_E8_C_29	C147	C5	experiment_2	DAY2	E8	C	29	SC	Day2_E8	8073	53401	14533	76007	89.38	76007	70.26	7360	9.68	13.78	58.45	4302	5.1	375	34.27	2522	35.19	2590	7360	2035	1
C147_C6_Martello_Polo_Day2_E8_C_30	C147	C6	experiment_2	DAY2	E8	C	30	SC	Day2_E8	6901	60831	29849	97581	92.93	97581	62.34	8329	8.54	13.69	62.12	5174	6.99	582	28.78	2397	29.51	2458	8329	2596	1
C147_C7_Martello_Polo_Day2_E8_C_31	C147	C7	experiment_2	DAY2	E8	C	31	SC	Day2_E8	20946	108411	40275	169632	87.65	169632	63.91	21788	12.84	20.1	69.48	15139	5.18	1128	23.28	5073	23.96	5221	21788	4391	1
C147_C8_Martello_Polo_Day2_E8_C_32	C147	C8	experiment_2	DAY2	E8	C	32	SC	Day2_E8	9023	54768	26365	90156	89.99	90156	60.75	6823	7.57	12.46	69.79	4762	8	546	19.7	1344	20.17	1376	6823	2367	1
C147_C9_Martello_Polo_Day2_E8_C_33	C147	C9	experiment_2	DAY2	E8	C	33	SC	Day2_E8	8653	62075	34938	105666	91.81	105666	58.75	8739	8.27	14.08	72.54	6339	7.29	637	17.75	1551	18.47	1614	8739	3189	1
C147_D1_Martello_Polo_Day2_E8_C_37	C147	D1	experiment_2	DAY2	E8	C	37	SC	Day2_E8	8858	42170	8413	59441	85.1	59441	70.94	5320	8.95	12.62	45.53	2422	4.85	258	47.07	2504	48.23	2566	5320	1280	1
C147_D10_Martello_Polo_Day2_E8_C_46	C147	D10	experiment_2	DAY2	E8	C	46	SC	Day2_E8	33786	96013	46286	176085	80.81	176085	54.53	12176	6.91	12.68	53.6	6526	7.69	936	36	4383	36.72	4471	12176	3578	1
C147_D11_Martello_Polo_Day2_E8_C_47	C147	D11	experiment_2	DAY2	E8	C	47	SC	Day2_E8	8146	57438	39518	105102	92.25	105102	54.65	9414	8.96	16.39	46.21	4350	7.16	674	44.05	4147	44.95	4232	9414	2384	1
C147_D12_Martello_Polo_Day2_E8_C_48	C147	D12	experiment_2	DAY2	E8	C	48	SC	Day2_E8	16005	93233	17480	126718	87.37	126718	73.58	10671	8.42	11.45	52.63	5616	5.1	544	39.74	4241	40.97	4372	10671	2238	1
C147_D2_Martello_Polo_Day2_E8_C_38	C147	D2	experiment_2	DAY2	E8	C	38	SC	Day2_E8	46935	73219	25667	145821	67.81	145821	50.21	9678	6.64	13.22	38.77	3752	5.15	498	53.54	5182	54.37	5262	9678	1621	1
C147_D3_Martello_Polo_Day2_E8_C_39	C147	D3	experiment_2	DAY2	E8	C	39	SC	Day2_E8	14389	83113	30618	128120	88.77	128120	64.87	11693	9.13	14.07	52.84	6178	5.72	669	39.13	4575	39.85	4660	11693	2584	1
C147_D4_Martello_Polo_Day2_E8_C_40	C147	D4	experiment_2	DAY2	E8	C	40	SC	Day2_E8	7931	51467	14280	73678	89.24	73678	69.85	5047	6.85	9.81	62.83	3171	6.62	334	27.3	1378	28.27	1427	5047	1629	1
C147_D5_Martello_Polo_Day2_E8_C_41	C147	D5	experiment_2	DAY2	E8	C	41	SC	Day2_E8	4527	33494	16563	54584	91.71	54584	61.36	4757	8.72	14.2	79.1	3763	6.79	323	11.46	545	12.09	575	4757	2241	1
C147_D6_Martello_Polo_Day2_E8_C_42	C147	D6	experiment_2	DAY2	E8	C	42	SC	Day2_E8	9416	104637	69685	183738	94.88	183738	56.95	20905	11.38	19.98	74.33	15538	6	1255	17.43	3644	18.05	3774	20905	5236	1
C147_D7_Martello_Polo_Day2_E8_C_43	C147	D7	experiment_2	DAY2	E8	C	43	SC	Day2_E8	5861	45809	14954	66624	91.2	66624	68.76	2575	3.86	5.62	57.83	1489	10.83	279	27.65	712	28.85	743	2575	698	1
C147_D8_Martello_Polo_Day2_E8_C_44	C147	D8	experiment_2	DAY2	E8	C	44	SC	Day2_E8	5006	35166	21065	61237	91.83	61237	57.43	4991	8.15	14.19	79.8	3983	7.27	363	9.72	485	11.06	552	4991	2355	1
C147_D9_Martello_Polo_Day2_E8_C_45	C147	D9	experiment_2	DAY2	E8	C	45	SC	Day2_E8	8518	67919	34084	110521	92.29	110521	61.45	6267	5.67	9.23	43.58	2731	10.58	663	42.8	2682	43.77	2743	6267	1384	1
C147_E1_Martello_Polo_Day2_E8_C_49	C147	E1	experiment_2	DAY2	E8	C	49	SC	Day2_E8	60637	97276	13238	171151	64.57	171151	56.84	3493	2.04	3.59	74.12	2589	18.15	634	0.11	4	0.09	3	3493	1000	1
C147_E10_Martello_Polo_Day2_E8_C_58	C147	E10	experiment_2	DAY2	E8	C	58	SC	Day2_E8	24926	101452	30444	156822	84.11	156822	64.69	12763	8.14	12.58	67.95	8673	7.11	907	22.06	2815	22.71	2899	12763	3472	1
C147_E11_Martello_Polo_Day2_E8_C_59	C147	E11	experiment_2	DAY2	E8	C	59	SC	Day2_E8	263304	265117	110354	638775	58.78	638775	41.5	68421	10.71	25.81	18.84	12890	3.38	2313	75.9	51933	77.65	53129	68421	2547	1
C147_E12_Martello_Polo_Day2_E8_C_60	C147	E12	experiment_2	DAY2	E8	C	60	SC	Day2_E8	143226	197473	62226	402925	64.45	402925	49.01	50775	12.6	25.71	37.19	18882	3.06	1556	57.81	29352	58.95	29933	50775	3433	1
C147_E2_Martello_Polo_Day2_E8_C_50	C147	E2	experiment_2	DAY2	E8	C	50	SC	Day2_E8	198996	53712	21996	274704	27.56	274704	19.55	4504	1.64	8.39	75.04	3380	9.39	423	10.37	467	11.15	502	4504	1910	1
C147_E3_Martello_Polo_Day2_E8_C_51	C147	E3	experiment_2	DAY2	E8	C	51	SC	Day2_E8	50471	120499	40166	211136	76.1	211136	57.07	22466	10.64	18.64	43.63	9802	4.09	919	50.6	11368	51.32	11529	22466	2869	1
C147_E4_Martello_Polo_Day2_E8_C_52	C147	E4	experiment_2	DAY2	E8	C	52	SC	Day2_E8	8755	66477	8022	83254	89.48	83254	79.85	2604	3.13	3.92	62.21	1620	8.87	231	22.96	598	23.89	622	2604	542	1
C147_E5_Martello_Polo_Day2_E8_C_53	C147	E5	experiment_2	DAY2	E8	C	53	SC	Day2_E8	70590	262278	43681	376549	81.25	376549	69.65	34609	9.19	13.2	55.33	19150	5.06	1751	37.39	12939	38.62	13367	34609	4035	1
C147_E6_Martello_Polo_Day2_E8_C_54	C147	E6	experiment_2	DAY2	E8	C	54	SC	Day2_E8	97307	87016	38813	223136	56.39	223136	39	18536	8.31	21.3	77.65	14393	4.74	879	14.73	2731	16.22	3006	18536	4636	1
C147_E7_Martello_Polo_Day2_E8_C_55	C147	E7	experiment_2	DAY2	E8	C	55	SC	Day2_E8	51556	203084	58553	313193	83.54	313193	64.84	42229	13.48	20.79	55.03	23238	4.43	1870	38.72	16350	39.7	16765	42229	4832	1
C147_E8_Martello_Polo_Day2_E8_C_56	C147	E8	experiment_2	DAY2	E8	C	56	SC	Day2_E8	8927	72952	16232	98111	90.9	98111	74.36	5413	5.52	7.42	73.23	3964	7.94	430	15.26	826	15.81	856	5413	2069	1
C147_E9_Martello_Polo_Day2_E8_C_57	C147	E9	experiment_2	DAY2	E8	C	57	SC	Day2_E8	27443	203135	48842	279420	90.18	279420	72.7	26723	9.56	13.16	73.8	19721	5.98	1599	17.79	4754	18.37	4908	26723	4978	1
C147_F1_Martello_Polo_Day2_E8_C_61	C147	F1	experiment_2	DAY2	E8	C	61	SC	Day2_E8	264323	229855	61808	555986	52.46	555986	41.34	65607	11.8	28.54	43.02	28221	3.18	2085	51.05	33490	52.54	34469	65607	4070	1
C147_F10_Martello_Polo_Day2_E8_C_70	C147	F10	experiment_2	DAY2	E8	C	70	SC	Day2_E8	623970	197321	66991	888282	29.76	888282	22.21	28569	3.22	14.48	74.58	21307	8.31	2375	12.26	3503	13.54	3867	28569	4931	1
C147_F11_Martello_Polo_Day2_E8_C_71	C147	F11	experiment_2	DAY2	E8	C	71	SC	Day2_E8	225125	232816	67260	525201	57.14	525201	44.33	48759	9.28	20.94	38.85	18945	4.5	2195	54.63	26639	55.89	27251	48759	3155	1
C147_F12_Martello_Polo_Day2_E8_C_72	C147	F12	experiment_2	DAY2	E8	C	72	SC	Day2_E8	577438	268974	49350	895762	35.54	895762	30.03	44173	4.93	16.42	46.33	20466	5.39	2383	43.21	19089	48.82	21566	44173	3238	1
C147_F2_Martello_Polo_Day2_E8_C_62	C147	F2	experiment_2	DAY2	E8	C	62	SC	Day2_E8	404741	107910	41242	553893	26.93	553893	19.48	14530	2.62	13.46	52.13	7574	6.53	949	37.2	5405	39.9	5798	14530	3000	1
C147_F3_Martello_Polo_Day2_E8_C_63	C147	F3	experiment_2	DAY2	E8	C	63	SC	Day2_E8	310669	336103	126094	772866	59.8	772866	43.49	62530	8.09	18.6	43.29	27067	5.36	3354	48.37	30244	49.5	30955	62530	5884	1
C147_F4_Martello_Polo_Day2_E8_C_64	C147	F4	experiment_2	DAY2	E8	C	64	SC	Day2_E8	105741	214548	50477	370766	71.48	370766	57.87	39136	10.56	18.24	59.9	23444	4.54	1775	32.55	12737	33.5	13111	39136	3844	1
C147_F5_Martello_Polo_Day2_E8_C_65	C147	F5	experiment_2	DAY2	E8	C	65	SC	Day2_E8	195147	146343	38444	379934	48.64	379934	38.52	27176	7.15	18.57	55.02	14951	4.3	1169	37.43	10172	38.85	10559	27176	3142	1
C147_F6_Martello_Polo_Day2_E8_C_66	C147	F6	experiment_2	DAY2	E8	C	66	SC	Day2_E8	189323	199521	68895	457739	58.64	457739	43.59	58662	12.82	29.4	56.76	33299	3.31	1940	38.02	22305	39.29	23051	58662	5076	1
C147_F7_Martello_Polo_Day2_E8_C_67	C147	F7	experiment_2	DAY2	E8	C	67	SC	Day2_E8	167685	329105	120266	617056	72.82	617056	53.33	115734	18.76	35.17	41.17	47646	2.8	3236	54.79	63415	55.75	64527	115734	5869	1
C147_F8_Martello_Polo_Day2_E8_C_68	C147	F8	experiment_2	DAY2	E8	C	68	SC	Day2_E8	126975	337728	101478	566181	77.57	566181	59.65	116685	20.61	34.55	54.52	63617	3.44	4014	40.34	47070	41.81	48788	116685	5909	1
C147_F9_Martello_Polo_Day2_E8_C_69	C147	F9	experiment_2	DAY2	E8	C	69	SC	Day2_E8	363032	222784	81972	667788	45.64	667788	33.36	42799	6.41	19.21	80.27	34353	6.04	2584	10.65	4559	11.32	4845	42799	5193	1
C147_G1_Martello_Polo_Day2_E8_C_73	C147	G1	experiment_2	DAY2	E8	C	73	SC	Day2_E8	393150	111975	8411	513536	23.44	513536	21.8	11303	2.2	10.09	73.65	8325	9.92	1121	9.69	1095	11.01	1245	11303	2369	1
C147_G10_Martello_Polo_Day2_E8_C_82	C147	G10	experiment_2	DAY2	E8	C	82	SC	Day2_E8	637158	246420	103599	987177	35.46	987177	24.96	48116	4.87	19.53	59.52	28641	6.11	2938	30.72	14779	31.88	15337	48116	5595	1
C147_G11_Martello_Polo_Day2_E8_C_83	C147	G11	experiment_2	DAY2	E8	C	83	SC	Day2_E8	752372	238601	96371	1087344	30.81	1087344	21.94	53252	4.9	22.32	57.9	30835	4.79	2550	33.57	17878	35.71	19014	53252	5709	1
C147_G12_Martello_Polo_Day2_E8_C_84	C147	G12	experiment_2	DAY2	E8	C	84	SC	Day2_E8	993867	247865	33321	1275053	22.05	1275053	19.44	31209	2.45	12.59	63.71	19883	7.51	2343	23.07	7201	24.46	7633	31209	4037	1
C147_G2_Martello_Polo_Day2_E8_C_74	C147	G2	experiment_2	DAY2	E8	C	74	SC	Day2_E8	314644	106150	42066	462860	32.02	462860	22.93	13111	2.83	12.35	64.39	8442	7.12	934	22.2	2910	24.74	3244	13111	3403	1
C147_G3_Martello_Polo_Day2_E8_C_75	C147	G3	experiment_2	DAY2	E8	C	75	SC	Day2_E8	261524	145854	47626	455004	42.52	455004	32.06	32389	7.12	22.21	48.65	15756	5.47	1772	42.54	13777	44.25	14331	32389	3621	1
C147_G4_Martello_Polo_Day2_E8_C_76	C147	G4	experiment_2	DAY2	E8	C	76	SC	Day2_E8	248057	172931	58333	479321	48.25	479321	36.08	27315	5.7	15.8	61.59	16823	5.87	1603	28.81	7870	29.56	8074	27315	3704	1
C147_G5_Martello_Polo_Day2_E8_C_77	C147	G5	experiment_2	DAY2	E8	C	77	SC	Day2_E8	368075	243181	103826	715082	48.53	715082	34.01	76230	10.66	31.35	65.65	50046	3.26	2488	28.61	21808	30.26	23066	76230	5926	1
C147_G6_Martello_Polo_Day2_E8_C_78	C147	G6	experiment_2	DAY2	E8	C	78	SC	Day2_E8	274813	171862	80365	527040	47.86	527040	32.61	41514	7.88	24.16	64.11	26615	3.89	1614	29.67	12316	30.52	12670	41514	4759	1
C147_G7_Martello_Polo_Day2_E8_C_79	C147	G7	experiment_2	DAY2	E8	C	79	SC	Day2_E8	420571	202585	69503	692659	39.28	692659	29.25	42660	6.16	21.06	62.73	26762	5.3	2261	28.74	12262	30.68	13086	42660	5290	1
C147_G8_Martello_Polo_Day2_E8_C_80	C147	G8	experiment_2	DAY2	E8	C	80	SC	Day2_E8	96000	267107	100802	463909	79.31	463909	57.58	85123	18.35	31.87	60.05	51115	3.31	2817	34.86	29673	35.66	30355	85123	5125	1
C147_G9_Martello_Polo_Day2_E8_C_81	C147	G9	experiment_2	DAY2	E8	C	81	SC	Day2_E8	667488	200759	18785	887032	24.75	887032	22.63	9658	1.09	4.81	74.37	7183	17.64	1704	0.22	21	0.19	18	9658	1796	1
C147_H1_Martello_Polo_Day2_E8_C_85	C147	H1	experiment_2	DAY2	E8	C	85	SC	Day2_E8	608007	187141	15054	810202	24.96	810202	23.1	21512	2.66	11.5	69.14	14874	8.51	1831	16.42	3532	17.53	3772	21512	3481	1
C147_H10_Martello_Polo_Day2_E8_C_94	C147	H10	experiment_2	DAY2	E8	C	94	SC	Day2_E8	85012	809171	161688	1055871	91.95	1055871	76.64	304035	28.79	37.57	76.32	232035	4.25	12908	15.01	45621	19.17	58269	304035	4944	1
C147_H11_Martello_Polo_Day2_E8_C_95	C147	H11	experiment_2	DAY2	E8	C	95	SC	Day2_E8	87565	684001	108628	880194	90.05	880194	77.71	398632	45.29	58.28	73.2	291791	3.98	15860	19.51	77763	23.78	94813	398632	4702	1
C147_H12_Martello_Polo_Day2_E8_C_96_MINIBULK	C147	H12	experiment_2	DAY2	E8	C	96	MINIBULK	Day2_E8	69650	137902	34802	242354	71.26	242354	56.9	19040	7.86	13.81	74.3	14146	9.47	1803	9.64	1835	13.76	2619	19040	4815	1
C147_H2_Martello_Polo_Day2_E8_C_86	C147	H2	experiment_2	DAY2	E8	C	86	SC	Day2_E8	267709	90450	1785	359944	25.62	359944	25.13	2805	0.78	3.1	67.49	1893	15.08	423	0	0	0.14	4	2805	656	1
C147_H3_Martello_Polo_Day2_E8_C_87	C147	H3	experiment_2	DAY2	E8	C	87	SC	Day2_E8	475500	208235	41552	725287	34.44	725287	28.71	31076	4.28	14.92	56.47	17550	6.07	1887	33.47	10401	35.06	10896	31076	4219	1
C147_H4_Martello_Polo_Day2_E8_C_88	C147	H4	experiment_2	DAY2	E8	C	88	SC	Day2_E8	272486	171453	45314	489253	44.31	489253	35.04	33850	6.92	19.74	52.32	17711	5.14	1741	38.99	13199	40.65	13760	33850	3910	1
C147_H5_Martello_Polo_Day2_E8_C_89	C147	H5	experiment_2	DAY2	E8	C	89	SC	Day2_E8	196126	95216	20757	312099	37.16	312099	30.51	13401	4.29	14.07	38.38	5143	5.83	781	51.5	6902	54.03	7241	13401	1707	1
C147_H6_Martello_Polo_Day2_E8_C_90	C147	H6	experiment_2	DAY2	E8	C	90	SC	Day2_E8	215471	136943	24200	376614	42.79	376614	36.36	13665	3.63	9.98	60.13	8217	7.38	1008	27.77	3795	28.91	3951	13665	2835	1
C147_H7_Martello_Polo_Day2_E8_C_91	C147	H7	experiment_2	DAY2	E8	C	91	SC	Day2_E8	245580	117697	39629	402906	39.05	402906	29.21	18458	4.58	15.68	54.57	10072	6.9	1274	33.95	6267	34.63	6392	18458	2819	1
C147_H8_Martello_Polo_Day2_E8_C_92	C147	H8	experiment_2	DAY2	E8	C	92	SC	Day2_E8	55947	191633	54678	302258	81.49	302258	63.4	49223	16.29	25.69	28.05	13809	3.33	1637	67.18	33066	67.74	33342	49223	2250	1
C147_H9_Martello_Polo_Day2_E8_C_93	C147	H9	experiment_2	DAY2	E8	C	93	SC	Day2_E8	364687	565717	175678	1106082	67.03	1106082	51.15	217903	19.7	38.52	24.34	53029	2.12	4628	72.11	157123	73.32	159769	217903	4236	1
C153_A1_Martello_Polo_Day4_E8_F_1_EMPTY	C153	A1	experiment_2	DAY4	E8	F	1	EMPTY	Day4_E8	558	187	18	763	26.87	763	24.51	14	1.83	7.49	50	7	28.57	4	0	0	0	0	14	14	1
C153_A10_Martello_Polo_Day4_E8_F_10	C153	A10	experiment_2	DAY4	E8	F	10	SC	Day4_E8	5080870	10330118	2174051	17585039	71.11	17585039	58.74	434301	2.47	4.2	66.05	286858	23.46	101892	0.14	596	0.27	1186	434301	17387	1
C153_A11_Martello_Polo_Day4_E8_F_11	C153	A11	experiment_2	DAY4	E8	F	11	SC	Day4_E8	3143	1322	148	4613	31.87	4613	28.66	98	2.12	7.41	66.33	65	21.43	21	1.02	1	2.04	2	98	97	1
C153_A12_Martello_Polo_Day4_E8_F_12	C153	A12	experiment_2	DAY4	E8	F	12	SC	Day4_E8	268	224	38	530	49.43	530	42.26	18	3.4	8.04	72.22	13	16.67	3	0	0	0	0	18	18	1
C153_A2_Martello_Polo_Day4_E8_F_2	C153	A2	experiment_2	DAY4	E8	F	2	SC	Day4_E8	504	279	54	837	39.78	837	33.33	28	3.35	10.04	71.43	20	10.71	3	7.14	2	7.14	2	28	27	1
C153_A3_Martello_Polo_Day4_E8_F_3	C153	A3	experiment_2	DAY4	E8	F	3	SC	Day4_E8	17118	15097	3043	35258	51.45	35258	42.82	1058	3	7.01	70.51	746	20.13	213	1.98	21	2.93	31	1058	626	1
C153_A4_Martello_Polo_Day4_E8_F_4	C153	A4	experiment_2	DAY4	E8	F	4	SC	Day4_E8	107544	420590	86154	614288	82.49	614288	68.47	18471	3.01	4.39	62.3	11507	25.19	4653	1.36	252	1.64	303	18471	2023	1
C153_A5_Martello_Polo_Day4_E8_F_5	C153	A5	experiment_2	DAY4	E8	F	5	SC	Day4_E8	62901	235402	44305	342608	81.64	342608	68.71	9893	2.89	4.2	69.59	6885	19.54	1933	1.59	157	1.68	166	9893	1959	1
C153_A6_Martello_Polo_Day4_E8_F_6	C153	A6	experiment_2	DAY4	E8	F	6	SC	Day4_E8	345102	1111899	274748	1731749	80.07	1731749	64.21	49496	2.86	4.45	66.34	32835	20.86	10326	1.28	633	1.53	757	49496	3323	1
C153_A7_Martello_Polo_Day4_E8_F_7	C153	A7	experiment_2	DAY4	E8	F	7	SC	Day4_E8	133164	530629	111849	775642	82.83	775642	68.41	20666	2.66	3.89	67.2	13888	20.39	4213	2.71	560	3.04	628	20666	2386	1
C153_A8_Martello_Polo_Day4_E8_F_8	C153	A8	experiment_2	DAY4	E8	F	8	SC	Day4_E8	42803	141913	22558	207274	79.35	207274	68.47	6321	3.05	4.45	67.39	4260	20.17	1275	1.65	104	1.79	113	6321	2104	1
C153_A9_Martello_Polo_Day4_E8_F_9	C153	A9	experiment_2	DAY4	E8	F	9	SC	Day4_E8	235566	994585	223713	1453864	83.8	1453864	68.41	37228	2.56	3.74	63.98	23819	25.17	9372	1.4	523	1.44	536	37228	2682	1
C153_B1_Martello_Polo_Day4_E8_F_13	C153	B1	experiment_2	DAY4	E8	F	13	SC	Day4_E8	1688938	2019355	342489	4050782	58.31	4050782	49.85	122061	3.01	6.04	65.53	79985	21.53	26279	1.08	1323	1.15	1408	122061	6541	1
C153_B10_Martello_Polo_Day4_E8_F_22	C153	B10	experiment_2	DAY4	E8	F	22	SC	Day4_E8	37714	137904	20491	196109	80.77	196109	70.32	5769	2.94	4.18	67.64	3902	20.9	1206	1.18	68	1.25	72	5769	1506	1
C153_B11_Martello_Polo_Day4_E8_F_23	C153	B11	experiment_2	DAY4	E8	F	23	SC	Day4_E8	486721	2187934	353136	3027791	83.92	3027791	72.26	84345	2.79	3.86	68.98	58179	22.25	18766	0.61	511	0.93	783	84345	3360	1
C153_B12_Martello_Polo_Day4_E8_F_24	C153	B12	experiment_2	DAY4	E8	F	24	SC	Day4_E8	2042112	7273242	1469381	10784735	81.06	10784735	67.44	349541	3.24	4.81	66.07	230929	22.26	77812	0.83	2887	1.48	5176	349541	7917	1
C153_B2_Martello_Polo_Day4_E8_F_14	C153	B2	experiment_2	DAY4	E8	F	14	SC	Day4_E8	193360	693506	112271	999137	80.65	999137	69.41	27461	2.75	3.96	66.1	18151	18	4942	1.13	311	1.37	375	27461	2546	1
C153_B3_Martello_Polo_Day4_E8_F_15	C153	B3	experiment_2	DAY4	E8	F	15	SC	Day4_E8	414232	1501833	215439	2131504	80.57	2131504	70.46	62007	2.91	4.13	69.09	42843	21.13	13105	0.29	177	0.34	212	62007	7518	1
C153_B4_Martello_Polo_Day4_E8_F_16	C153	B4	experiment_2	DAY4	E8	F	16	SC	Day4_E8	14659	27749	3894	46302	68.34	46302	59.93	1637	3.54	5.9	68.66	1124	22.24	364	0.92	15	1.16	19	1637	1026	1
C153_B5_Martello_Polo_Day4_E8_F_17	C153	B5	experiment_2	DAY4	E8	F	17	SC	Day4_E8	44754	173166	31237	249157	82.04	249157	69.5	6727	2.7	3.88	65.96	4437	25.26	1699	1.35	91	1.44	97	6727	1528	1
C153_B6_Martello_Polo_Day4_E8_F_18	C153	B6	experiment_2	DAY4	E8	F	18	SC	Day4_E8	36147	114804	17823	168774	78.58	168774	68.02	4939	2.93	4.3	71.74	3543	19.34	955	0.87	43	1.5	74	4939	1565	1
C153_B7_Martello_Polo_Day4_E8_F_19	C153	B7	experiment_2	DAY4	E8	F	19	SC	Day4_E8	67622	265935	53237	386794	82.52	386794	68.75	9852	2.55	3.7	69.01	6799	24.51	2415	0.92	91	1.92	189	9852	1837	1
C153_B8_Martello_Polo_Day4_E8_F_20	C153	B8	experiment_2	DAY4	E8	F	20	SC	Day4_E8	13978	26801	3763	44542	68.62	44542	60.17	1586	3.56	5.92	70.87	1124	21.5	341	0.5	8	0.63	10	1586	1073	1
C153_B9_Martello_Polo_Day4_E8_F_21	C153	B9	experiment_2	DAY4	E8	F	21	SC	Day4_E8	33513	61424	8361	103298	67.56	103298	59.46	3744	3.62	6.1	79.17	2964	14.58	546	0.13	5	0.35	13	3744	1453	1
C153_C1_Martello_Polo_Day4_E8_F_25	C153	C1	experiment_2	DAY4	E8	F	25	SC	Day4_E8	82	79	13	174	52.87	174	45.4	5	2.87	6.33	60	3	0	0	0	0	0	0	5	5	1
