Sample	Plate	Well	Experiment	Time	Treatment	Replicate	CellNumID	WellType	TimeTreatment
C142_H6_Martello_Polo_Day0_H9_E8_90	C142	H6	experiment_2	DAY0	E8	H9	90	SC	Day0_E8
C142_H7_Martello_Polo_Day0_H9_E8_91	C142	H7	experiment_2	DAY0	E8	H9	91	SC	Day0_E8
C142_H8_Martello_Polo_Day0_H9_E8_92	C142	H8	experiment_2	DAY0	E8	H9	92	SC	Day0_E8
C142_H9_Martello_Polo_Day0_H9_E8_93	C142	H9	experiment_2	DAY0	E8	H9	93	SC	Day0_E8
C145_A1_Martello_Polo_Day2_E8_C_1_EMPTY	C145	A1	experiment_2	DAY2	E8	C	1	EMPTY	Day2_E8
C145_A10_Martello_Polo_Day2_E8_C_10	C145	A10	experiment_2	DAY2	E8	C	10	SC	Day2_E8
C145_A11_Martello_Polo_Day2_E8_C_11	C145	A11	experiment_2	DAY2	E8	C	11	SC	Day2_E8
C145_A12_Martello_Polo_Day2_E8_C_12	C145	A12	experiment_2	DAY2	E8	C	12	SC	Day2_E8
C145_A2_Martello_Polo_Day2_E8_C_2	C145	A2	experiment_2	DAY2	E8	C	2	SC	Day2_E8
C145_A3_Martello_Polo_Day2_E8_C_3	C145	A3	experiment_2	DAY2	E8	C	3	SC	Day2_E8
C145_A4_Martello_Polo_Day2_E8_C_4	C145	A4	experiment_2	DAY2	E8	C	4	SC	Day2_E8
C145_A5_Martello_Polo_Day2_E8_C_5	C145	A5	experiment_2	DAY2	E8	C	5	SC	Day2_E8
C145_A6_Martello_Polo_Day2_E8_C_6	C145	A6	experiment_2	DAY2	E8	C	6	SC	Day2_E8
C145_A7_Martello_Polo_Day2_E8_C_7	C145	A7	experiment_2	DAY2	E8	C	7	SC	Day2_E8
C145_A8_Martello_Polo_Day2_E8_C_8	C145	A8	experiment_2	DAY2	E8	C	8	SC	Day2_E8
C145_A9_Martello_Polo_Day2_E8_C_9	C145	A9	experiment_2	DAY2	E8	C	9	SC	Day2_E8
C145_B1_Martello_Polo_Day2_E8_C_13	C145	B1	experiment_2	DAY2	E8	C	13	SC	Day2_E8
C145_B10_Martello_Polo_Day2_E8_C_22	C145	B10	experiment_2	DAY2	E8	C	22	SC	Day2_E8
C145_B11_Martello_Polo_Day2_E8_C_23	C145	B11	experiment_2	DAY2	E8	C	23	SC	Day2_E8
C145_B12_Martello_Polo_Day2_E8_C_24	C145	B12	experiment_2	DAY2	E8	C	24	SC	Day2_E8
C145_B2_Martello_Polo_Day2_E8_C_14	C145	B2	experiment_2	DAY2	E8	C	14	SC	Day2_E8
C145_B3_Martello_Polo_Day2_E8_C_15	C145	B3	experiment_2	DAY2	E8	C	15	SC	Day2_E8
C145_B4_Martello_Polo_Day2_E8_C_16	C145	B4	experiment_2	DAY2	E8	C	16	SC	Day2_E8
C145_B5_Martello_Polo_Day2_E8_C_17	C145	B5	experiment_2	DAY2	E8	C	17	SC	Day2_E8
C145_B6_Martello_Polo_Day2_E8_C_18	C145	B6	experiment_2	DAY2	E8	C	18	SC	Day2_E8
C145_B7_Martello_Polo_Day2_E8_C_19	C145	B7	experiment_2	DAY2	E8	C	19	SC	Day2_E8
C145_B8_Martello_Polo_Day2_E8_C_20	C145	B8	experiment_2	DAY2	E8	C	20	SC	Day2_E8
C145_B9_Martello_Polo_Day2_E8_C_21	C145	B9	experiment_2	DAY2	E8	C	21	SC	Day2_E8
C145_C1_Martello_Polo_Day2_E8_C_25	C145	C1	experiment_2	DAY2	E8	C	25	SC	Day2_E8
C145_C10_Martello_Polo_Day2_E8_C_34	C145	C10	experiment_2	DAY2	E8	C	34	SC	Day2_E8
C145_C11_Martello_Polo_Day2_E8_C_35	C145	C11	experiment_2	DAY2	E8	C	35	SC	Day2_E8
C145_C12_Martello_Polo_Day2_E8_C_36	C145	C12	experiment_2	DAY2	E8	C	36	SC	Day2_E8
C145_C2_Martello_Polo_Day2_E8_C_26	C145	C2	experiment_2	DAY2	E8	C	26	SC	Day2_E8
C145_C3_Martello_Polo_Day2_E8_C_27	C145	C3	experiment_2	DAY2	E8	C	27	SC	Day2_E8
C145_C4_Martello_Polo_Day2_E8_C_28	C145	C4	experiment_2	DAY2	E8	C	28	SC	Day2_E8
C145_C5_Martello_Polo_Day2_E8_C_29	C145	C5	experiment_2	DAY2	E8	C	29	SC	Day2_E8
C145_C6_Martello_Polo_Day2_E8_C_30	C145	C6	experiment_2	DAY2	E8	C	30	SC	Day2_E8
C145_C7_Martello_Polo_Day2_E8_C_31	C145	C7	experiment_2	DAY2	E8	C	31	SC	Day2_E8
C145_C8_Martello_Polo_Day2_E8_C_32	C145	C8	experiment_2	DAY2	E8	C	32	SC	Day2_E8
C145_C9_Martello_Polo_Day2_E8_C_33	C145	C9	experiment_2	DAY2	E8	C	33	SC	Day2_E8
C145_D1_Martello_Polo_Day2_E8_C_37	C145	D1	experiment_2	DAY2	E8	C	37	SC	Day2_E8
C145_D10_Martello_Polo_Day2_E8_C_46	C145	D10	experiment_2	DAY2	E8	C	46	SC	Day2_E8
C145_D11_Martello_Polo_Day2_E8_C_47	C145	D11	experiment_2	DAY2	E8	C	47	SC	Day2_E8
C145_D12_Martello_Polo_Day2_E8_C_48	C145	D12	experiment_2	DAY2	E8	C	48	SC	Day2_E8
C145_D2_Martello_Polo_Day2_E8_C_38	C145	D2	experiment_2	DAY2	E8	C	38	SC	Day2_E8
C145_D3_Martello_Polo_Day2_E8_C_39	C145	D3	experiment_2	DAY2	E8	C	39	SC	Day2_E8
