Sample	Plate	Well	WellType	Time	Experiment
232_G10_DAY4	232	G10	SC	DAY4	experiment_1
232_G11_DAY4	232	G11	SC	DAY4	experiment_1
232_G12_DAY4	232	G12	SC	DAY4	experiment_1
232_G2_DAY4	232	G2	SC	DAY4	experiment_1
232_G3_DAY4	232	G3	SC	DAY4	experiment_1
232_G4_DAY4	232	G4	SC	DAY4	experiment_1
232_G5_DAY4	232	G5	SC	DAY4	experiment_1
232_G6_DAY4	232	G6	SC	DAY4	experiment_1
232_G7_DAY4	232	G7	SC	DAY4	experiment_1
232_G8_DAY4	232	G8	SC	DAY4	experiment_1
232_G9_DAY4	232	G9	SC	DAY4	experiment_1
232_H1_DAY4	232	H1	SC	DAY4	experiment_1
232_H10_MINIBULK_DAY4	232	H10	MINIBULK	DAY4	experiment_1
232_H11_MINIBULK_DAY4	232	H11	MINIBULK	DAY4	experiment_1
232_H12_MINIBULK_DAY4	232	H12	MINIBULK	DAY4	experiment_1
232_H2_DAY4	232	H2	SC	DAY4	experiment_1
232_H3_DAY4	232	H3	SC	DAY4	experiment_1
232_H4_DAY4	232	H4	SC	DAY4	experiment_1
232_H5_DAY4	232	H5	SC	DAY4	experiment_1
232_H6_DAY4	232	H6	SC	DAY4	experiment_1
232_H7_DAY4	232	H7	SC	DAY4	experiment_1
232_H8_DAY4	232	H8	SC	DAY4	experiment_1
232_H9_DAY4	232	H9	SC	DAY4	experiment_1
